msms_score	matched_peaks	feature_id	short_inchikey	smiles	molecular_formula	exact_mass
0.7873772043861144	16	781	AGVBOCPGXNSSLL	CNC1=CC(=O)C(CC2(C)C(C)CCC3(C)C(C)=CCCC32)=CC1=O	C22H31NO2	341.235479232
0.2796253550217745	9	797	AAJDXWUEZJHCJH	C=CC(C)=CC1OC(=O)C2=CC(=O)C3C(C)(C)CCCC3(C)C21	C20H26O3	314.188194692
0.2097092715148415	7	797	AAKYADOUWNFWOI	CC(=O)C1CCC2=C1C(=O)CC1C2CC=C2CC(O)CCC21C	C20H26O3	314.188194692
0.31533028642931266	9	797	ADMPCLPZZAGWMI	C=CC1(C)CC2=C3CC1OC(=O)C31CCCC(C)(C)C1CC2=O	C20H26O3	314.188194692
0.2206946275514629	9	797	AILBGNUDAQUSML	CC(C)c1ccc2c(c1)C(=O)CC1C(C)(CO)C(=O)CCC21C	C20H26O3	314.188194692
0.31593679956140586	8	797	AKYCTHTXCPVVOB	C=C1CCC2C(C3C(C)C(=O)C4=C(C(=O)C(C)(O)C4)C13)C2(C)C	C20H26O3	314.188194692
0.39422082122835633	14	805	AANRCAZDPPXTKN	C=CC(C)(C)c1[nH]cnc1C=c1nc(O)c(=Cc2ccccc2)nc1O	C20H20N4O2	348.15862588
0.2090958436969868	14	818	AKXIKMMBYLAJOS	O=C(CNCCc1ccc(O)cc1)c1c[nH]c2ccccc12	C18H18N2O2	294.136827816
0.30997382605959933	10	867	AELCSTBSEIVBBX	CCC(C)NC(=O)C=CC=Cc1ccc2c(c1)OCO2	C16H19NO3	273.13649346799997
0.6205839227420085	11	867	AIXQQSTVOSFSMO	COc1ccc2c3c1OC1CC(O)C=CC31CCNC2	C16H19NO3	273.13649346799997
0.6984306660264868	11	867	AQCVSSBXUGYGDU	C=C(C(C)=O)C(=Cc1cccc(O)c1N)C(=CO)CC	C16H19NO3	273.13649346799997
0.23622036088332746	7	900	ADJCWYMIFUCCRW	C=C1C=C(C)c2cc3c(CO)cc(O)nc3c(O)c2N1	C15H14N2O3	270.10044230799997
0.2376504580878395	7	920	AHJXWWIWKRQSNL	C=CC1(C)C(N=C)=C2C(CC1Cl)C(C)(C)C21C(O)=Nc2ccccc21	C21H23ClN2O	354.149891036
0.20389889240363	7	932	ACUFRNMZLVESRV	CC(C)=CC1Oc2c(O)c(C(C)C)cc3ccc(C)c(c23)C1O	C20H24O3	312.17254462799997
0.257290791530515	9	932	AJNZONLTHSAPKY	CC1CC=C2CC3(C(=O)O)C=CC3C2C1(C)CCc1ccoc1	C20H24O3	312.17254462799997
0.9291467736029378	8	1046	AOQDQGMQXJYXLQ	CCCCCCC=Cc1cc(=O)c2ccccc2[nH]1	C17H21NO	255.16231429200002
0.2063448512338266	7	1086	AFDRTBLITUTAGE	COC1C2=C(C(=O)C(O)=C(C(C)C)C2=O)C2(C)CCCC(C)(C)C2C1O	C21H30O5	362.20932406
0.44868942167528625	8	1100	AANRCAZDPPXTKN	C=CC(C)(C)c1[nH]cnc1C=c1nc(O)c(=Cc2ccccc2)nc1O	C20H20N4O2	348.15862588
0.25604321570193134	7	1102	AKKRSUAQLBEBRV	COC1C(C=O)=CCC2C3=C(C(C)C)CCC3(C)C(=O)CC2(C)C1O	C21H30O4	346.21440944
0.4098433607816762	8	1128	ABSPRNADVQNDOU	CC(C)=CCC1=C(C)C(=O)c2ccccc2C1=O	C16H16O2	240.115029752
0.43186492936154414	7	1130	AOMLMYXPXUTBQH	O=C(O)C1=NCC(O)C1	C5H7NO3	129.042593084
